parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
conversion_ratio,0.00189043826754772,0.01995262314968879,118.44270014191085,8.213063008113667e-06,0.002865844205136362,training_rmse_nm_s,mse
conversion_ratio,0.0023799207744439684,0.025118864315095822,94.11727308696237,8.130341885717294e-06,0.00285137543752437,training_rmse_nm_s,mse
conversion_ratio,0.0029961427410043636,0.03162277660168379,74.79489355585437,8.026925709026763e-06,0.002833182964269474,training_rmse_nm_s,mse
conversion_ratio,0.0037719202340130245,0.039810717055349734,59.44657438593528,7.897876858456437e-06,0.002810316149200377,training_rmse_nm_s,mse
conversion_ratio,0.004748566233859599,0.05011872336272725,47.25496162423393,7.737223075392201e-06,0.00278158643140784,training_rmse_nm_s,mse
conversion_ratio,0.005978090701393568,0.0630957344480193,37.57080745127311,7.537829893650401e-06,0.0027455108620528896,training_rmse_nm_s,mse
conversion_ratio,0.007525970297994789,0.07943282347242822,29.87839537083189,7.291319858790887e-06,0.002700244407232591,training_rmse_nm_s,mse
conversion_ratio,0.009474635256553754,0.1,23.768076431704998,6.988095125476941e-06,0.002643500543876801,training_rmse_nm_s,mse
conversion_ratio,0.011927859091956473,0.12589254117941676,18.914453936330336,6.6175585445183684e-06,0.0025724615729915907,training_rmse_nm_s,mse
conversion_ratio,0.015016284919164105,0.15848931924611143,15.059054894368654,6.16868875390766e-06,0.002483684511750166,training_rmse_nm_s,mse
conversion_ratio,0.01890438267547722,0.19952623149688808,11.996565415911384,5.631217776911716e-06,0.0023730187055545342,training_rmse_nm_s,mse
conversion_ratio,0.023799207744439683,0.25118864315095824,9.563897033422784,4.997799885528087e-06,0.0022355759628176555,training_rmse_nm_s,mse
conversion_ratio,0.029961427410043637,0.31622776601683794,7.631501701323418,4.267766908853954e-06,0.002065857427039425,training_rmse_nm_s,mse
conversion_ratio,0.037719202340130244,0.3981071705534973,6.096472976239111,3.453359575613197e-06,0.0018583217093961952,training_rmse_nm_s,mse
